Date,Tank,Watt,average.temperature,SEM
7/3/12,2,0,26.55,0.556
7/3/12,24,50,27.251,0.391
7/3/12,5,100,27.1,0.311
7/3/12,16,150,28.489,0.107
7/3/12,10,200,29.335,0.178
7/3/12,26,250,29.427,0.104
7/3/12,4,300,30.34,0.129
7/3/12,7,350,31.147,0.155
7/3/12,23,400,32.197,0.074
7/3/12,18,450,32.849,0.065
7/4/12,2,0,26.999,0.505
7/4/12,24,50,27.637,0.631
7/4/12,5,100,27.624,0.143
7/4/12,16,150,28.436,0.165
7/4/12,10,200,28.968,0.263
7/4/12,26,250,29.39,0.133
7/4/12,4,300,30.537,0.081
7/4/12,7,350,31.002,0.072
7/4/12,23,400,31.44,0.205
7/4/12,18,450,31.634,0.172
7/5/12,2,0,27.48,0.085
7/5/12,24,50,28.808,0.39
7/5/12,5,100,28.174,0.17
7/5/12,16,150,29.634,0.156
7/5/12,10,200,30.749,0.333
7/5/12,26,250,32.38,0.061
7/5/12,4,300,33.265,0.099
7/5/12,7,350,33.952,0.039
7/5/12,23,400,34.457,0.001
7/5/12,18,450,34.155,0.151
7/6/12,2,0,33.952,0.039
7/6/12,24,50,24.766,0.371
7/6/12,5,100,27.756,0.203
7/6/12,16,150,29.607,0.16
7/6/12,10,200,29.297,0.093
7/6/12,26,250,30.33,0.133
7/6/12,4,300,31.35,0.16
7/6/12,7,350,32.354,0.158
7/6/12,23,400,32.677,0.111
7/6/12,18,450,32.634,0.171
7/7/12,2,0,24.545,1.634
7/7/12,24,50,22.597,0.253
7/7/12,5,100,26.704,1.695
7/7/12,16,150,28.407,0.29
7/7/12,10,200,28.659,0.014
7/7/12,26,250,29.369,0.254
7/7/12,4,300,30.805,0.327
7/7/12,7,350,32.217,0.107
7/7/12,23,400,32.593,0.131
7/7/12,18,450,32.691,0.151
7/8/12,2,0,22.663,0.676
7/8/12,24,50,22.72,0.117
7/8/12,5,100,24.376,0.164
7/8/12,16,150,27.144,0.875
7/8/12,10,200,29.136,0.098
7/8/12,26,250,29.391,0.081
7/8/12,4,300,30.752,0.618
