Week,Tank,trophic.level,species,size,invTi,invTT
4,2,PZN,cyclopoid,0.357,39.59599,39.63547
5,2,PZN,cyclopoid,0.612,39.42086,39.63547
5,2,PZN,cyclopoid,0.646,39.42086,39.63547
5,2,PZN,cyclopoid,0.408,39.42086,39.63547
5,2,PZN,cyclopoid,0.51,39.42086,39.63547
5,2,PZN,cyclopoid,0.697,39.42086,39.63547
5,2,PZN,cyclopoid,0.612,39.42086,39.63547
5,2,PZN,cyclopoid,0.442,39.42086,39.63547
5,2,PZN,cyclopoid,0.544,39.42086,39.63547
5,2,PZN,cyclopoid,0.493,39.42086,39.63547
5,2,PZN,cyclopoid,0.425,39.42086,39.63547
6,2,PZN,cyclopoid,0.561,39.70063,39.63547
6,2,PZN,cyclopoid,0.646,39.70063,39.63547
6,2,PZN,cyclopoid,0.765,39.70063,39.63547
6,2,PZN,cyclopoid,0.544,39.70063,39.63547
6,2,PZN,cyclopoid,0.459,39.70063,39.63547
6,2,PZN,cyclopoid,0.476,39.70063,39.63547
6,2,PZN,cyclopoid,0.476,39.70063,39.63547
6,2,PZN,cyclopoid,0.493,39.70063,39.63547
6,2,PZN,cyclopoid,0.51,39.70063,39.63547
6,2,PZN,cyclopoid,0.646,39.70063,39.63547
6,2,PZN,cyclopoid,0.578,39.70063,39.63547
8,2,PZN,cyclopoid,0.629,40.09579,39.63547
8,2,PZN,cyclopoid,0.442,40.09579,39.63547
8,2,PZN,cyclopoid,0.442,40.09579,39.63547
8,2,PZN,cyclopoid,0.425,40.09579,39.63547
8,2,PZN,cyclopoid,0.493,40.09579,39.63547
8,2,PZN,cyclopoid,0.408,40.09579,39.63547
8,2,PZN,cyclopoid,0.595,40.09579,39.63547
8,2,PZN,cyclopoid,0.646,40.09579,39.63547
8,2,PZN,cyclopoid,0.646,40.09579,39.63547
9,2,PZN,cyclopoid,0.595,40.15872,39.63547
9,2,PZN,cyclopoid,0.578,40.15872,39.63547
9,2,PZN,cyclopoid,0.51,40.15872,39.63547
9,2,PZN,cyclopoid,0.493,40.15872,39.63547
9,2,PZN,Daphnia,0.765,40.15872,39.63547
9,2,PZN,Daphnia,1.037,40.15872,39.63547
9,2,PZN,Daphnia,1.904,40.15872,39.63547
6,4,PZN,cyclopoid,0.476,39.36463,39.30056
6,4,PZN,cyclopoid,0.527,39.75309,39.30056
8,4,PZN,cyclopoid,0.663,39.75309,39.30056
8,4,PZN,cyclopoid,0.425,39.75309,39.30056
8,4,PZN,cyclopoid,0.646,39.75309,39.30056
8,4,PZN,cyclopoid,0.408,39.75309,39.30056
8,4,PZN,cyclopoid,0.459,39.75309,39.30056
8,4,PZN,cyclopoid,0.527,39.75309,39.30056
8,4,PZN,cyclopoid,0.442,39.75309,39.30056
8,4,PZN,cyclopoid,0.425,39.75309,39.30056
8,4,PZN,cyclopoid,0.408,39.75309,39.30056
8,4,PZN,cyclopoid,0.425,39.75309,39.30056
8,4,PZN,cyclopoid,0.442,39.75309,39.30056
8,4,PZN,cyclopoid,0.493,39.75309,39.30056
8,4,PZN,cyclopoid,0.646,39.75309,39.30056
8,4,PZN,cyclopoid,0.34,39.75309,39.30056
8,4,PZN,cyclopoid,0.544,39.75309,39.30056
9,4,PZN,cyclopoid,0.425,39.81495,39.30056
9,4,PZN,cyclopoid,0.612,39.81495,39.30056
9,4,PZN,cyclopoid,0.527,39.81495,39.30056
9,4,PZN,cyclopoid,0.612,39.81495,39.30056
9,4,PZN,cyclopoid,0.527,39.81495,39.30056
9,4,PZN,cyclopoid,0.527,39.81495,39.30056
9,4,PZN,cyclopoid,0.561,39.81495,39.30056
9,4,PZN,cyclopoid,0.544,39.81495,39.30056
9,4,PZN,cyclopoid,0.578,39.81495,39.30056
9,4,PZN,cyclopoid,0.595,39.81495,39.30056
9,4,PZN,cyclopoid,0.544,39.81495,39.30056
9,4,PZN,cyclopoid,0.578,39.81495,39.30056
9,4,PZN,cyclopoid,0.578,39.81495,39.30056
9,4,PZN,cyclopoid,0.544,39.81495,39.30056
9,4,PZN,cyclopoid,0.561,39.81495,39.30056
9,4,PZN,cyclopoid,0.561,39.81495,39.30056
8,5,PZN,cyclopoid,0.595,40.09496,39.63466
8,5,PZN,cyclopoid,0.357,40.09496,39.63466
8,5,PZN,cyclopoid,0.476,40.09496,39.63466
8,5,PZN,cyclopoid,0.629,40.09496,39.63466
8,5,PZN,cyclopoid,0.629,40.09496,39.63466
8,5,PZN,cyclopoid,0.612,40.09496,39.63466
8,5,PZN,cyclopoid,0.561,40.09496,39.63466
8,5,PZN,cyclopoid,0.544,40.09496,39.63466
9,5,PZN,cyclopoid,0.51,40.15788,39.63466
9,5,PZN,cyclopoid,0.612,40.15788,39.63466
9,5,PZN,cyclopoid,0.646,40.15788,39.63466
9,5,PZN,cyclopoid,0.629,40.15788,39.63466
9,5,PZN,cyclopoid,0.476,40.15788,39.63466
9,5,PZN,cyclopoid,0.544,40.15788,39.63466
9,5,PZN,cyclopoid,0.476,40.15788,39.63466
9,5,PZN,cyclopoid,0.68,40.15788,39.63466
9,5,PZN,cyclopoid,0.493,40.15788,39.63466
9,5,PZN,cyclopoid,0.527,40.15788,39.63466
9,5,PZN,cyclopoid,0.561,40.15788,39.63466
9,5,PZN,cyclopoid,0.476,40.15788,39.63466
9,5,PZN,cyclopoid,0.595,40.15788,39.63466
9,5,PZN,cyclopoid,0.51,40.15788,39.63466
9,5,PZN,cyclopoid,0.527,40.15788,39.63466
9,5,PZN,cyclopoid,0.544,40.15788,39.63466
8,7,PZN,Copepod,0.476,39.6607,39.21026
8,7,PZN,cyclopoid,0.493,39.6607,39.21026
8,7,PZN,cyclopoid,0.646,39.6607,39.21026
9,7,PZN,cyclopoid,0.629,39.72227,39.21026
9,7,PZN,Daphnia,0.357,39.72227,39.21026
9,11,PZ,cyclopoid,0.629,40.06506,39.60107
9,11,PZ,cyclopoid,0.561,40.06506,39.60107
9,11,PZ,cyclopoid,0.612,40.06506,39.60107
9,11,PZ,Daphnia,1.36,40.06506,39.60107
9,11,PZ,Daphnia,0.952,40.06506,39.60107
9,11,PZ,Daphnia,1.394,40.06506,39.60107
9,11,PZ,Daphnia,0.782,40.06506,39.60107
9,11,PZ,Daphnia,1.394,40.06506,39.60107
9,11,PZ,Daphnia,1.241,40.06506,39.60107
9,11,PZ,Daphnia,1.054,40.06506,39.60107
9,11,PZ,Daphnia,1.36,40.06506,39.60107
9,11,PZ,Daphnia,1.36,40.06506,39.60107
9,11,PZ,Daphnia,1.054,40.06506,39.60107
9,11,PZ,Daphnia,1.037,40.06506,39.60107
9,11,PZ,Daphnia,1.292,40.06506,39.60107
9,11,PZ,Daphnia,0.595,40.06506,39.60107
9,11,PZ,Daphnia,1.734,40.06506,39.60107
9,11,PZ,Daphnia,0.697,40.06506,39.60107
4,12,PZ,cyclopoid,0.595,39.26952,39.33329
