date,julian day ,tank,temp,treatment,species,stage,stage,sex,Skaltenteile,Verg,comments,size in cm
24/7/12,206,2,0,PP+Z+N,cyclopoid,,4B3S,,2.1,6.0,,0.357
31/7/12,213,2,0,PP+Z+N,cyclopoid,,4B5S,,3.6,6.0,,0.612
31/7/12,213,2,0,PP+Z+N,cyclopoid,,5B5S,,3.8,6.0,,0.646
31/7/12,213,2,0,PP+Z+N,cyclopoid,,4B3S,,2.4,6.0,,0.408
31/7/12,213,2,0,PP+Z+N,cyclopoid,,4B3S,,3.0,6.0,,0.510
31/7/12,213,2,0,PP+Z+N,cyclopoid,,5B5S,,4.1,6.0,,0.697
31/7/12,213,2,0,PP+Z+N,cyclopoid,,4B4S,,3.6,6.0,,0.612
31/7/12,213,2,0,PP+Z+N,cyclopoid,,4B3S,,2.6,6.0,,0.442
31/7/12,213,2,0,PP+Z+N,cyclopoid,,5B4S,,3.2,6.0,,0.544
31/7/12,213,2,0,PP+Z+N,cyclopoid,,4B3S,,2.9,6.0,,0.493
31/7/12,213,2,0,PP+Z+N,cyclopoid,,4B3S,,2.5,6.0,,0.425
7/8/12,220,2,0,PP+Z+N,cyclopoid,,4B4S,,2.8,6.0,,0.476
7/8/12,220,2,0,PP+Z+N,cyclopoid,,4B4S,,3.1,6.0,,0.527
21/8/12,234,2,0,PP+Z+N,cyclopoid,,4B4S,,3.7,6.0,,0.629
21/8/12,234,2,0,PP+Z+N,cyclopoid,,4B3S,,2.6,6.0,,0.442
21/8/12,234,2,0,PP+Z+N,cyclopoid,,4B3S,,2.6,6.0,,0.442
21/8/12,234,2,0,PP+Z+N,cyclopoid,,4B3S,,2.5,6.0,,0.425
21/8/12,234,2,0,PP+Z+N,cyclopoid,,4B4S,,2.9,6.0,,0.493
21/8/12,234,2,0,PP+Z+N,cyclopoid,,4B3S,,2.4,6.0,,0.408
21/8/12,234,2,0,PP+Z+N,cyclopoid,,4B4S,,3.5,6.0,,0.595
21/8/12,234,2,0,PP+Z+N,cyclopoid,,5B5S,,3.8,6.0,,0.646
21/8/12,234,2,0,PP+Z+N,cyclopoid,,5B5S,,3.8,6.0,,0.646
28/8/12,241,2,0,PP+Z+N,copepod,egg,,,,6.0,,0.000
28/8/12,241,2,0,PP+Z+N,cyclopoid,,4B5S,,3.5,6.0,,0.595
28/8/12,241,2,0,PP+Z+N,cyclopoid,,4B5S,,3.4,6.0,,0.578
28/8/12,241,2,0,PP+Z+N,cyclopoid,,4B4S,,3.0,6.0,,0.510
28/8/12,241,2,0,PP+Z+N,cyclopoid,,4B4S,,2.9,6.0,,0.493
28/8/12,241,2,0,PP+Z+N,Daphnia,larvae,,,,6.0,,0.000
28/8/12,241,2,0,PP+Z+N,Daphnia,larvae,,,,6.0,,0.000
28/8/12,241,2,0,PP+Z+N,Daphnia,larvae,,,,6.0,,0.000
28/8/12,241,2,0,PP+Z+N,Daphnia,egg,,,,6.0,,0.000
28/8/12,241,2,0,PP+Z+N,Daphnia,egg,,,,6.0,,0.000
28/8/12,241,2,0,PP+Z+N,Daphnia,mature,,,4.5,6.0,,0.765
28/8/12,241,2,0,PP+Z+N,Daphnia,mature,,,6.1,6.0,,1.037
28/8/12,241,2,0,PP+Z+N,Daphnia,mature,,,11.2,6.0,w/ eggs,1.904
24/7/12,206,4,300,PP+Z+N,eggs,,,,,6.0,,0.000
24/7/12,206,4,300,PP+Z+N,eggs,,,,,6.0,,0.000
24/7/12,206,4,300,PP+Z+N,eggs,,,,,6.0,,0.000
24/7/12,206,4,300,PP+Z+N,eggs,,,,,6.0,,0.000
7/8/12,220,4,300,PP+Z+N,cyclopoid,,4B4S,,3.2,6.0,,0.544
21/8/12,234,4,300,PP+Z+N,Copepod,egg,,,,6.0,,0.000
21/8/12,234,4,300,PP+Z+N,Copepod,egg,,,,6.0,,0.000
21/8/12,234,4,300,PP+Z+N,Copepod,egg,,,,6.0,,0.000
21/8/12,234,4,300,PP+Z+N,Copepod,egg,,,,6.0,,0.000
21/8/12,234,4,300,PP+Z+N,Copepod,egg,,,,6.0,,0.000
21/8/12,234,4,300,PP+Z+N,Copepod,egg,,,,6.0,,0.000
21/8/12,234,4,300,PP+Z+N,Copepod,egg,,,,6.0,,0.000
21/8/12,234,4,300,PP+Z+N,Copepod,egg,,,,6.0,,0.000
21/8/12,234,4,300,PP+Z+N,Copepod,egg,,,,6.0,,0.000
21/8/12,234,4,300,PP+Z+N,Copepod,egg,,,,6.0,,0.000
21/8/12,234,4,300,PP+Z+N,Copepod,egg,,,,6.0,,0.000
21/8/12,234,4,300,PP+Z+N,Copepod,egg,,,,6.0,,0.000
21/8/12,234,4,300,PP+Z+N,Copepod,egg,,,,6.0,,0.000
21/8/12,234,4,300,PP+Z+N,cyclopoid,,5B5S,,3.9,6.0,,0.663
21/8/12,234,4,300,PP+Z+N,cyclopoid,,4B3S,,2.5,6.0,,0.425
21/8/12,234,4,300,PP+Z+N,cyclopoid,,5B5S,,3.8,6.0,,0.646
21/8/12,234,4,300,PP+Z+N,cyclopoid,,4B4S,,2.4,6.0,,0.408
21/8/12,234,4,300,PP+Z+N,cyclopoid,,4B4S,,2.7,6.0,,0.459
21/8/12,234,4,300,PP+Z+N,cyclopoid,,4B4S,,3.1,6.0,,0.527
21/8/12,234,4,300,PP+Z+N,cyclopoid,,4B3S,,2.6,6.0,,0.442
