Date,Week,Tank,treatment,Watt,Temperature
7/3/12,2,1,P,400,32.123
7/3/12,2,2,PZN,0,25.621
7/3/12,2,3,P,150,28.687
7/3/12,2,4,PZN,300,30.569
7/3/12,2,5,PZN,100,27.658
7/3/12,2,6,P,50,27.931
7/3/12,2,7,PZN,350,31.456
7/3/12,2,8,P,450,32.786
7/3/12,2,9,PZ,400,32.124
7/3/12,2,10,PZN,200,28.986
7/3/12,2,11,PZ,0,27.545
7/3/12,2,12,PZ,200,29.568
7/3/12,2,13,P,250,29.456
7/3/12,2,14,P,350,30.986
7/3/12,2,15,P,100,26.581
7/3/12,2,16,PZN,150,28.321
7/3/12,2,17,P,250,29.234
7/3/12,2,18,PZN,450,32.783
7/3/12,2,19,PZ,150,28.458
7/3/12,2,20,PZ,350,30.998
7/3/12,2,21,PZ,50,27.245
7/3/12,2,22,PZ,300,30.326
7/3/12,2,23,PZN,400,32.345
7/3/12,2,24,PZN,50,26.576
7/3/12,2,25,P,0,26.484
7/3/12,2,26,PZN,250,29.59
7/3/12,2,27,P,300,30.124
7/3/12,2,28,PZ,100,27.062
7/3/12,2,29,P,200,29.452
7/3/12,2,30,PZ,450,32.978
7/4/12,2,1,P,400,31.645
7/4/12,2,2,PZN,0,26.869
7/4/12,2,3,P,150,28.65
7/4/12,2,4,PZN,300,30.698
7/4/12,2,5,PZN,100,27.685
7/4/12,2,6,P,50,28.513
7/4/12,2,7,PZN,350,30.876
7/4/12,2,8,P,450,31.456
7/4/12,2,9,PZ,400,31.645
7/4/12,2,10,PZN,200,28.456
7/4/12,2,11,PZ,0,27.931
7/4/12,2,12,PZ,200,29.123
7/4/12,2,13,PZ,250,29.456
7/4/12,2,14,P,350,31.003
7/4/12,2,15,P,100,27.351
7/4/12,2,16,PZN,150,28.112
7/4/12,2,17,P,250,29.133
7/4/12,2,18,PZN,450,31.468
7/4/12,2,19,PZ,150,28.546
7/4/12,2,20,PZ,350,31.126
7/4/12,2,21,PZ,50,27.987
7/4/12,2,22,PZ,300,30.456
7/4/12,2,23,PZN,400,31.031
7/4/12,2,24,PZN,50,26.412
7/4/12,2,25,P,0,26.196
7/4/12,2,26,PZN,250,29.58
7/4/12,2,27,P,300,30.456
7/4/12,2,28,PZ,100,27.835
7/4/12,2,29,P,200,29.325
7/4/12,2,30,PZ,450,31.978
7/5/12,2,1,P,400,34.456
7/5/12,2,2,PZN,0,27.641
7/5/12,2,3,P,150,29.654
7/5/12,2,4,PZN,300,33.456
7/5/12,2,5,PZN,100,28.369
7/5/12,2,6,P,50,28.222
7/5/12,2,7,PZN,350,34.003
7/5/12,2,8,P,450,33.978
7/5/12,2,9,PZ,400,34.458
7/5/12,2,10,PZN,200,31.265
7/5/12,2,11,PZ,0,27.448
7/5/12,2,12,PZ,200,30.126
7/5/12,2,13,PZ,250,32.326
7/5/12,2,14,P,350,33.976
7/5/12,2,15,P,100,27.835
7/5/12,2,16,PZN,150,29.354
7/5/12,2,17,P,250,32.312
7/5/12,2,18,PZN,450,34.456
7/5/12,2,19,PZ,150,29.894
7/5/12,2,20,PZ,350,33.876
7/5/12,2,21,PZ,50,28.654
7/5/12,2,22,PZ,300,33.21
7/5/12,2,23,PZN,400,34.456
7/5/12,2,24,PZN,50,29.547
7/5/12,2,25,P,0,27.351
7/5/12,2,26,PZN,250,32.501
7/5/12,2,27,P,300,33.128
7/5/12,2,28,PZ,100,28.319
7/5/12,2,29,P,200,30.856
7/5/12,2,30,PZ,450,34.032
7/6/12,2,1,P,400,32.789
7/6/12,2,2,PZN,0,27.255
7/6/12,2,3,P,150,29.321
7/6/12,2,4,PZN,300,31.56
7/6/12,2,5,PZN,100,27.987
7/6/12,2,6,P,50,24.187
7/6/12,2,7,PZN,350,32.315
7/6/12,2,8,P,450,32.456
7/6/12,2,9,PZ,400,32.786
7/6/12,2,10,PZN,200,29.128
7/6/12,2,11,PZ,0,24.282
7/6/12,2,12,PZ,200,29.45
7/6/12,2,13,PZ,250,30.102
7/6/12,2,14,P,350,32.645
7/6/12,2,15,P,100,27.351
7/6/12,2,16,PZN,150,29.876
7/6/12,2,17,P,250,30.561
7/6/12,2,18,PZN,450,32.469
7/6/12,2,19,PZ,150,29.623
7/6/12,2,20,PZ,350,32.102
7/6/12,2,21,PZ,50,24.654
7/6/12,2,22,PZ,300,31.035
7/6/12,2,23,PZN,400,32.456
7/6/12,2,24,PZN,50,25.456
7/6/12,2,25,P,0,27.931
7/6/12,2,26,PZN,250,30.328
7/6/12,2,27,P,300,31.456
7/6/12,2,28,PZ,100,27.931
7/6/12,2,29,P,200,29.314
7/6/12,2,30,PZ,450,32.976
7/7/12,2,1,P,400,32.789
7/7/12,2,2,PZN,0,23.901
7/7/12,2,3,P,150,28.987
7/7/12,2,4,PZN,300,31.459
7/7/12,2,5,PZN,100,28.658
7/7/12,2,6,P,50,22.092
7/7/12,2,7,PZN,350,32.312
7/7/12,2,8,P,450,32.456
7/7/12,2,9,PZ,400,32.645
7/7/12,2,10,PZN,200,28.687
7/7/12,2,11,PZ,0,22.092
7/7/12,2,12,PZ,200,28.645
7/7/12,2,13,PZ,250,29.234
7/7/12,2,14,P,350,32.335
7/7/12,2,15,P,100,23.329
7/7/12,2,16,PZN,150,28.132
7/7/12,2,17,P,250,29.012
7/7/12,2,18,PZN,450,32.645
7/7/12,2,19,PZ,150,28.102
7/7/12,2,20,PZ,350,32.004
7/7/12,2,21,PZ,50,22.874
7/7/12,2,22,PZ,300,30.489
7/7/12,2,23,PZN,400,32.345
7/7/12,2,24,PZN,50,22.826
7/7/12,2,25,P,0,27.641
7/7/12,2,26,PZN,250,29.861
7/7/12,2,27,P,300,30.468
7/7/12,2,28,PZ,100,28.125
7/7/12,2,29,P,200,28.645
7/7/12,2,30,PZ,450,32.973
7/8/12,2,1,P,400,32.789
7/8/12,2,2,PZN,0,21.806
7/8/12,2,3,P,150,25.394
7/8/12,2,4,PZN,300,31.987
7/8/12,2,5,PZN,100,24.658
7/8/12,2,6,P,50,22.948
7/8/12,2,7,PZN,350,32.999
7/8/12,2,8,P,450,33.112
7/8/12,2,9,PZ,400,32.456
7/8/12,2,10,PZN,200,28.986
7/8/12,2,11,PZ,0,22.187
7/8/12,2,12,PZ,200,29.102
7/8/12,2,13,PZ,250,29.456
7/8/12,2,14,P,350,33.031
7/8/12,2,15,P,100,24.091
7/8/12,2,16,PZN,150,28.025
7/8/12,2,17,P,250,29.231
7/8/12,2,18,PZN,450,33.002
7/8/12,2,19,PZ,150,28.012
7/8/12,2,20,PZ,350,33.12
7/8/12,2,21,PZ,50,22.652
7/8/12,2,22,PZ,300,30.168
7/8/12,2,23,PZN,400,32.456
7/8/12,2,24,PZN,50,22.561
7/8/12,2,25,P,0,23.996
7/8/12,2,26,PZN,250,29.487
7/8/12,2,27,P,300,30.102
7/8/12,2,28,PZ,100,24.378
7/8/12,2,29,P,200,29.321
7/8/12,2,30,PZ,450,33.006
7/9/12,2,1,P,400,31.456
7/9/12,2,2,PZN,0,22.282
7/9/12,2,3,P,150,27.698
7/9/12,2,4,PZN,300,30.125
7/9/12,2,5,PZN,100,26.365
7/9/12,2,6,P,50,23.519
7/9/12,2,7,PZN,350,31.345
7/9/12,2,8,P,450,31.646
7/9/12,2,9,PZ,400,31.645
7/9/12,2,10,PZN,200,27.987
7/9/12,2,11,PZ,0,22.853
7/9/12,2,12,PZ,200,28.368
7/9/12,2,13,PZ,250,28.326
7/9/12,2,14,P,350,31.123
7/9/12,2,15,P,100,26.004
7/9/12,2,16,PZN,150,27.658
7/9/12,2,17,P,250,28.126
7/9/12,2,18,PZN,450,32.756
7/9/12,2,19,PZ,150,27.623
7/9/12,2,20,PZ,350,31.123
7/9/12,2,21,PZ,50,23.369
7/9/12,2,22,PZ,300,29.012
7/9/12,2,23,PZN,400,31.678
7/9/12,2,24,PZN,50,23.657
7/9/12,2,25,P,0,21.806
7/9/12,2,26,PZN,250,28.961
7/9/12,2,27,P,300,29.038
7/9/12,2,28,PZ,100,26.388
7/9/12,2,29,P,200,28.465
7/9/12,2,30,PZ,450,31.976
7/10/12,2,1,P,400,30.023
7/10/12,2,2,PZN,0,22.948
7/10/12,2,3,P,150,27.684
7/10/12,2,4,PZN,300,28.023
7/10/12,2,5,PZN,100,26.945
7/10/12,2,6,P,50,23.234
7/10/12,2,7,PZN,350,29.789
7/10/12,2,8,P,450,31.976
7/10/12,2,9,PZ,400,30.213
7/10/12,2,10,PZN,200,26.568
7/10/12,2,11,PZ,0,22.853
7/10/12,2,12,PZ,200,27.987
7/10/12,2,13,PZ,250,27.568
7/10/12,2,14,P,350,29.458
7/10/12,2,15,P,100,26.966
7/10/12,2,16,PZN,150,27.012
7/10/12,2,17,P,250,27.356
7/10/12,2,18,PZN,450,31.003
7/10/12,2,19,PZ,150,27.698
7/10/12,2,20,PZ,350,29.023
7/10/12,2,21,PZ,50,23.476
7/10/12,2,22,PZ,300,28.035
7/10/12,2,23,PZN,400,30.123
7/10/12,2,24,PZN,50,23.687
7/10/12,2,25,P,0,22.377
7/10/12,2,26,PZN,250,27.238
7/10/12,2,27,P,300,28.637
7/10/12,2,28,PZ,100,26.966
7/10/12,2,29,P,200,28.328
7/10/12,2,30,PZ,450,31.465
7/11/12,3,1,P,400,30.876
7/11/12,3,2,PZN,0,22.567
7/11/12,3,3,P,150,26.365
7/11/12,3,4,PZN,300,29.038
7/11/12,3,5,PZN,100,25.654
7/11/12,3,6,P,50,23.996
7/11/12,3,7,PZN,350,30.035
7/11/12,3,8,P,450,31.976
7/11/12,3,9,PZ,400,30.89
7/11/12,3,10,PZN,200,27.658
7/11/12,3,11,PZ,0,23.234
7/11/12,3,12,PZ,200,27.568
7/11/12,3,13,PZ,250,28.367
7/11/12,3,14,P,350,30.234
7/11/12,3,15,P,100,25.429
7/11/12,3,16,PZN,150,26.324
7/11/12,3,17,P,250,28.032
7/11/12,3,18,PZN,450,31.459
7/11/12,3,19,PZ,150,26.546
7/11/12,3,20,PZ,350,30.459
7/11/12,3,21,PZ,50,23.721
7/11/12,3,22,PZ,300,29.325
7/11/12,3,23,PZN,400,30.976
7/11/12,3,24,PZN,50,23.345
7/11/12,3,25,P,0,23.519
7/11/12,3,26,PZN,250,28.697
7/11/12,3,27,P,300,29.891
7/11/12,3,28,PZ,100,25.812
7/11/12,3,29,P,200,27.102
7/11/12,3,30,PZ,450,32.003
7/12/12,3,1,P,400,32.48
7/12/12,3,2,PZN,0,23.519
7/12/12,3,3,P,150,28.699
7/12/12,3,4,PZN,300,31.12
7/12/12,3,5,PZN,100,27.32
7/12/12,3,6,P,50,24.282
7/12/12,3,7,PZN,350,32.477
7/12/12,3,8,P,450,33.113
7/12/12,3,9,PZ,400,32.478
7/12/12,3,10,PZN,200,29.359
7/12/12,3,11,PZ,0,23.519
7/12/12,3,12,PZ,200,29.012
7/12/12,3,13,PZ,250,30.15
7/12/12,3,14,P,350,32.135
7/12/12,3,15,P,100,27.158
7/12/12,3,16,PZN,150,28.687
7/12/12,3,17,P,250,30.003
7/12/12,3,18,PZN,450,33.459
7/12/12,3,19,PZ,150,28.657
7/12/12,3,20,PZ,350,32.368
7/12/12,3,21,PZ,50,24.284
7/12/12,3,22,PZ,300,31.103
7/12/12,3,23,PZN,400,32.978
7/12/12,3,24,PZN,50,24.846
7/12/12,3,25,P,0,22.662
7/12/12,3,26,PZN,250,30.689
7/12/12,3,27,P,300,31.103
7/12/12,3,28,PZ,100,27.158
7/12/12,3,29,P,200,29.357
7/12/12,3,30,PZ,450,33.457
7/13/12,3,1,P,400,30.032
7/13/12,3,2,PZN,0,23.71
7/13/12,3,3,P,150,25.645
7/13/12,3,4,PZN,300,28.976
7/13/12,3,5,PZN,100,24.843
7/13/12,3,6,P,50,25.238
7/13/12,3,7,PZN,350,29.876
7/13/12,3,8,P,450,31.645
7/13/12,3,9,PZ,400,30.126
7/13/12,3,10,PZN,200,26.356
7/13/12,3,11,PZ,0,24.473
7/13/12,3,12,PZ,200,26.98
7/13/12,3,13,PZ,250,27.56
7/13/12,3,14,P,350,29.315
7/13/12,3,15,P,100,23.996
7/13/12,3,16,PZN,150,25.019
7/13/12,3,17,P,250,27.033
7/13/12,3,18,PZN,450,31.003
7/13/12,3,19,PZ,150,25.654
7/13/12,3,20,PZ,350,29.345
7/13/12,3,21,PZ,50,25.249
7/13/12,3,22,PZ,300,28.643
7/13/12,3,23,PZN,400,30.456
7/13/12,3,24,PZN,50,25.546
7/13/12,3,25,P,0,23.519
7/13/12,3,26,PZN,250,27.658
7/13/12,3,27,P,300,28.364
7/13/12,3,28,PZ,100,24.76
7/13/12,3,29,P,200,26.325
7/13/12,3,30,PZ,450,31.649
7/14/12,3,1,P,400,29.78
7/14/12,3,2,PZN,0,24.569
7/14/12,3,3,P,150,26.602
7/14/12,3,4,PZN,300,28.102
7/14/12,3,5,PZN,100,25.681
7/14/12,3,6,P,50,24.282
7/14/12,3,7,PZN,350,29.003
7/14/12,3,8,P,450,31.997
7/14/12,3,9,PZ,400,29.787
7/14/12,3,10,PZN,200,27.563
7/14/12,3,11,PZ,0,24.091
7/14/12,3,12,PZ,200,27.568
7/14/12,3,13,PZ,250,28.023
7/14/12,3,14,P,350,29.456
7/14/12,3,15,P,100,24.569
7/14/12,3,16,PZN,150,26.657
7/14/12,3,17,P,250,28.123
7/14/12,3,18,PZN,450,30.346
7/14/12,3,19,PZ,150,26.652
7/14/12,3,20,PZ,350,29.791
7/14/12,3,21,PZ,50,24.513
7/14/12,3,22,PZ,300,28.348
7/14/12,3,23,PZN,400,29.978
7/14/12,3,24,PZN,50,24.698
7/14/12,3,25,P,0,23.615
7/14/12,3,26,PZN,250,27.968
7/14/12,3,27,P,300,28.102
7/14/12,3,28,PZ,100,25.142
7/14/12,3,29,P,200,27.687
7/14/12,3,30,PZ,450,31.79
7/15/12,3,1,P,400,28.786
7/15/12,3,2,PZN,0,23.901
7/15/12,3,3,P,150,24.036
7/15/12,3,4,PZN,300,26.035
7/15/12,3,5,PZN,100,23.674
7/15/12,3,6,P,50,21.996
7/15/12,3,7,PZN,350,27.978
7/15/12,3,8,P,450,29.645
7/15/12,3,9,PZ,400,28.468
7/15/12,3,10,PZN,200,25.356
7/15/12,3,11,PZ,0,21.711
7/15/12,3,12,PZ,200,25.018
7/15/12,3,13,PZ,250,26.235
7/15/12,3,14,P,350,27.035
7/15/12,3,15,P,100,23.615
7/15/12,3,16,PZN,150,24.058
7/15/12,3,17,P,250,26.028
7/15/12,3,18,PZN,450,29.73
7/15/12,3,19,PZ,150,24.102
7/15/12,3,20,PZ,350,27.198
7/15/12,3,21,PZ,50,21.443
7/15/12,3,22,PZ,300,26.653
7/15/12,3,23,PZN,400,28.349
7/15/12,3,24,PZN,50,21.697
7/15/12,3,25,P,0,24.569
7/15/12,3,26,PZN,250,26.641
7/15/12,3,27,P,300,26.567
7/15/12,3,28,PZ,100,23.996
7/15/12,3,29,P,200,25.012
7/15/12,3,30,PZ,450,29.302
7/16/12,3,1,P,400,29.031
7/16/12,3,2,PZN,0,21.331
7/16/12,3,3,P,150,24.365
7/16/12,3,4,PZN,300,27.975
7/16/12,3,5,PZN,100,23.689
7/16/12,3,6,P,50,22.472
7/16/12,3,7,PZN,350,28.689
7/16/12,3,8,P,450,30.631
7/16/12,3,9,PZ,400,29.315
7/16/12,3,10,PZN,200,25.356
7/16/12,3,11,PZ,0,21.521
7/16/12,3,12,PZ,200,25.356
7/16/12,3,13,PZ,250,26.456
7/16/12,3,14,P,350,28.003
7/16/12,3,15,P,100,23.996
7/16/12,3,16,PZN,150,24.987
7/16/12,3,17,P,250,26.123
