Tank,week,average.temp,power,trophic.level,Zb.Pb,Pb.Zb,Zb+Nb.Pb
11,4,24.545,0,PZ,,,0
21,4,24.245,50,PZ,0.081799001,12.22508815,0.081799001
28,4,24.062,100,PZ,0.039457079,25.34399453,0.039457079
19,4,25.458,150,PZ,0.021561189,46.37963134,0.021561189
12,4,26.568,200,PZ,0.031909734,31.33840019,0.031909734
13,4,26.456,250,PZ,0.013890224,71.9930793,0.013890224
22,4,27.326,300,PZ,0,,0
20,4,27.998,350,PZ,0.260779029,3.834664179,0.260779029
9,4,29.124,400,PZ,0,,0
30,4,29.978,450,PZ,1.661839674,0.601742765,1.661839674
2,4,22.621,0,PZN,0.003167983,315.6583004,0.003167983
24,4,23.576,50,PZN,0.013826962,72.32246683,0.013826962
5,4,24.658,100,PZN,0,,0
16,4,25.321,150,PZN,0.006926829,144.3662028,0.006926829
10,4,25.986,200,PZN,0,,0
26,4,26.59,250,PZN,0,,3.024798365
4,4,27.569,300,PZN,0,,3.176254649
7,4,28.456,350,PZN,0,,0
23,4,29.345,400,PZN,0.007237857,138.1624413,4.157148137
18,4,29.783,450,PZN,0,,0
11,5,19.853,0,PZ,,,0
21,5,20.476,50,PZ,0.047226559,21.17452602,0.047226559
28,5,23.966,100,PZ,0,,0
19,5,24.698,150,PZ,0.041471045,24.11320956,0.041471045
12,5,24.987,200,PZ,0,,0
13,5,24.568,250,PZ,0,,0
22,5,25.035,300,PZ,0.032917123,30.37932574,0.032917123
20,5,26.023,350,PZ,0.283015908,3.533370287,0.283015908
9,5,27.213,400,PZ,0,,0
30,5,28.465,450,PZ,0.041270223,24.23054515,0.041270223
2,5,19.948,0,PZN,0.030178036,33.13668293,0.030178036
24,5,20.687,50,PZN,0.029395975,34.01826323,0.029395975
5,5,23.945,100,PZN,0,,0
16,5,24.012,150,PZN,0,,0
10,5,23.568,200,PZN,0,,0
26,5,24.238,250,PZN,0,,0
4,5,25.023,300,PZN,0,,0
7,5,26.789,350,PZN,0,,0
23,5,27.123,400,PZN,0,,0
18,5,28.003,450,PZN,0,,0
11,6,17.475,0,PZ,0.039879137,,0
21,6,18.249,50,PZ,0.015299393,25.07576837,0.039879137
28,6,22.046,100,PZ,0.094474316,65.36207232,0.015299393
19,6,23.451,150,PZ,0,10.58488744,0.094474316
12,6,25.001,200,PZ,0,,0
13,6,26.1465,250,PZ,0.053184828,,0
22,6,27.125,300,PZ,1.301294482,18.80235461,0.053184828
20,6,28.456,350,PZ,0,0.768465565,1.301294482
9,6,28.465,400,PZ,1.295710291,,0
30,6,29.458,450,PZ,0.771777462,0.771777462,1.295710291
2,6,18.616,0,PZN,0.006276726,159.318718,1.783860393
24,6,18.978,50,PZN,0.038099282,26.24721348,1.853472954
