Tank,date,week,average.temp,power,trophic.level,dawn1,dusk,dawn2,dawn1time,dusktime,dawn2time,hours1,hours2,temp.dawn1,temp.dusk,temp.dawn2
1,39638,2,30.023,400,P,6.98,8.06,7.21,0.1875,0.833333333,0.1875,15.5,8.5,23.61,27.59,24.69
2,39638,2,22.948,0,PZN,8.37,8.79,8.76,0.1875,0.833333333,0.1875,15.5,8.5,20.71,23.95,20.35
3,39638,2,27.684,150,P,7.18,8.04,7.94,0.1875,0.833333333,0.1875,15.5,8.5,23.39,26.10,23.19
4,39638,2,28.023,300,PZN,6.31,8.17,7.08,0.1875,0.833333333,0.1875,15.5,8.5,23.54,27.26,26.14
5,39638,2,26.945,100,PZN,6.54,7.88,7.53,0.1875,0.833333333,0.1875,15.5,8.5,22.18,25.37,22.26
6,39638,2,23.234,50,P,7.38,8.14,8.01,0.1875,0.833333333,0.1875,15.5,8.5,22.23,25.23,22.25
7,39638,2,29.789,350,PZN,5.69,7.8,7.01,0.1875,0.833333333,0.1875,15.5,8.5,24.53,27.43,26.39
8,39638,2,31.976,450,P,6.65,7.91,6.98,0.1875,0.833333333,0.1875,15.5,8.5,24.41,26.76,26.54
9,39638,2,30.213,400,PZ,5.41,8.32,7.49,0.1875,0.833333333,0.1875,15.5,8.5,23.89,26.54,23.52
10,39638,2,26.568,200,PZN,7.16,8.91,8.55,0.1875,0.833333333,0.1875,15.5,8.5,24.62,27.01,24.31
11,39638,2,22.853,0,PZ,8.56,9.24,9.01,0.1875,0.833333333,0.1875,15.5,8.5,20.94,24.44,20.96
12,39638,2,27.987,200,PZ,7.99,9.56,8.93,0.1875,0.833333333,0.1875,15.5,8.5,23.73,27.49,24.73
13,39638,2,27.568,250,PZ,6.34,7.96,7.29,0.1875,0.833333333,0.1875,15.5,8.5,24.26,27.06,23.62
14,39638,2,29.458,350,P,6.88,7.85,7.18,0.1875,0.833333333,0.1875,15.5,8.5,24.36,27.42,23.12
15,39638,2,26.966,100,P,7.91,8.71,8.58,0.1875,0.833333333,0.1875,15.5,8.5,22.20,25.45,21.40
16,39638,2,27.012,150,PZN,7.35,8.88,8.57,0.1875,0.833333333,0.1875,15.5,8.5,22.47,24.87,22.52
17,39638,2,27.356,250,P,8,8.95,8.44,0.1875,0.833333333,0.1875,15.5,8.5,23.08,25.06,25.37
18,39638,2,31.003,450,PZN,5.86,8.53,7.92,0.1875,0.833333333,0.1875,15.5,8.5,22.28,24.43,24.08
19,39638,2,27.698,150,PZ,6.46,7.87,7.47,0.1875,0.833333333,0.1875,15.5,8.5,20.19,22.96,19.86
20,39638,2,29.023,350,PZ,7.05,9.4,8.53,0.1875,0.833333333,0.1875,15.5,8.5,22.63,28.94,23.20
21,39638,2,23.476,50,PZ,8.53,9.39,9.09,0.1875,0.833333333,0.1875,15.5,8.5,21.46,24.14,21.30
22,39638,2,28.035,300,PZ,6.81,8.93,7.93,0.1875,0.833333333,0.1875,15.5,8.5,23.04,25.74,23.50
23,39638,2,30.123,400,PZN,6.65,8.73,7.94,0.1875,0.833333333,0.1875,15.5,8.5,21.90,24.55,22.76
24,39638,2,23.687,50,PZN,8.02,9.07,9.03,0.1875,0.833333333,0.1875,15.5,8.5,21.04,23.74,20.97
25,39638,2,                                ,0,P,9.05,9.56,9.35,0.1875,0.833333333,0.1875,15.5,8.5,19.52,21.95,19.18
26,39638,2,27.238,250,PZN,8.11,9.93,9.36,0.1875,0.833333333,0.1875,15.5,8.5,19.44,22.30,19.26
27,39638,2,28.637,300,P,7.87,8.83,8.2,0.1875,0.833333333,0.1875,15.5,8.5,21.73,24.95,23.15
28,39638,2,26.966,100,PZ,8.16,9.34,8.99,0.1875,0.833333333,0.1875,15.5,8.5,21.06,23.34,21.03
29,39638,2,28.328,200,P,7.25,8.19,7.81,0.1875,0.833333333,0.1875,15.5,8.5,21.63,24.41,22.61
30,39638,2,31.465,450,PZ,5.17,8.5,7.55,0.1875,0.833333333,0.1875,15.5,8.5,22.89,25.60,23.56
1,39645,3,31.456,400,P,14.69,16.24,14.83,0.1875,0.833333333,0.1875,15.5,8.5,25.37,30.15,26.62
2,39645,3,21.616,0,PZN,20.28,20.97,17.25,0.1875,0.833333333,0.1875,15.5,8.5,24.54,25.49,22.54
3,39645,3,26.605,150,P,15.56,16.51,15.95,0.1875,0.833333333,0.1875,15.5,8.5,24.53,28.52,25.34
4,39645,3,30.126,300,PZN,14.62,15.83,13.47,0.1875,0.833333333,0.1875,15.5,8.5,26.29,28.29,26.21
5,39645,3,25.364,100,PZN,14.93,15.75,15.25,0.1875,0.833333333,0.1875,15.5,8.5,23.40,27.26,24.24
6,39645,3,20.57,50,P,13.86,14.23,13.88,0.1875,0.833333333,0.1875,15.5,8.5,23.36,27.12,24.25
7,39645,3,31.003,350,PZN,11.06,12.49,11.95,0.1875,0.833333333,0.1875,15.5,8.5,27.29,30.87,28.28
8,39645,3,32.456,450,P,7.84,11.62,10.33,0.1875,0.833333333,0.1875,15.5,8.5,28.11,31.81,29.13
9,39645,3,31.465,400,PZ,9.98,11.26,9.78,0.1875,0.833333333,0.1875,15.5,8.5,26.43,30.96,27.84
10,39645,3,28.1238,200,PZN,10.43,11.49,11.08,0.1875,0.833333333,0.1875,15.5,8.5,25.42,28.76,26.17
11,39645,3,20.475,0,PZ,12.76,12.9,12.46,0.1875,0.833333333,0.1875,15.5,8.5,22.02,26.01,22.67
