week,tank,trophic.level,power,taxon,group,ind.L,size.um.length.ind
1,25,P,0,Gloeocystis,Chlorophyta,0,23
1,25,P,0,Microcystis,Cyanobacteria,1,3
1,25,P,0,Oscillatoria,Cyanobacteria,0,63
1,25,P,0,Chrysosphaerella,Cryptophyte,0,30
1,25,P,0,Chrysophyte,Cryptophyte,0,30
1,25,P,0,Anabaena,Cyanobacteria,0,6
1,25,P,0,Dinobryon,Cryptophyte,0,20
1,25,P,0,Coleosphaerium,Cyanobacteria,2,6
1,25,P,0,Fragilaria,Cryptophyte,0,40
1,25,P,0,Tabellaria,Diatom,1,50
1,25,P,0,Fragilaria,Cryptophyte,1,40
1,25,P,0,Euglenid,Euglenophyta,0,70
1,25,P,0,Arthrodesmus,Chlorophyta,0,30
1,25,P,0,Planktothrix,Cyanobacteria,0,100
1,25,P,0,Phacus,Euglenophyta,0,35
1,25,P,0,Merismopedia,Cyanobacteria,0,3
1,25,P,0,Chroococcus,Cyanobacteria,0,27
1,25,P,0,Chlamydomonas,Chlorophyta,0,10
1,25,P,0,Synechococcus,Cyanobacteria,0,1.5
1,25,P,0,Gymnodinium,Dinoflagelate,0,55
1,25,P,0,Mallomonas,Synurophyta,0,18
1,25,P,0,Merismopedia,Cyanobacteria,0,3
1,25,P,0,Paramecium,Ciliate,0,120
1,25,P,0,Fischerella,Cyanobacteria,0,80
1,25,P,0,Amoeboid ,Amoeboid,0,3
1,25,P,0,Eunotia,Diatom,0,150
1,25,P,0,Melosira,Diatom,0,40
1,25,P,0,Diatom3,Diatom,0,60
2,25,P,0,Gloeocystis,Chlorophyta,3,23
2,25,P,0,Microcystis,Cyanobacteria,0,3
2,25,P,0,Oscillatoria,Cyanobacteria,0,63
2,25,P,0,Chrysosphaerella,Cryptophyte,1,30
2,25,P,0,Chrysosphaerella,Cryptophyte,8,30
2,25,P,0,Anabaena,Cyanobacteria,0,30
2,25,P,0,Dinobryon,Cryptophyte,0,20
2,25,P,0,Coleosphaerium,Cyanobacteria,0,6
2,25,P,0,Fragilaria,Cryptophyte,0,40
2,25,P,0,Tabellaria,Diatom,0,50
2,25,P,0,Fragilaria,Cryptophyte,0,40
2,25,P,0,Euglenid,Euglenophyta,0,70
2,25,P,0,Arthrodesmus,Chlorophyta,0,30
2,25,P,0,Planktothrix,Cyanobacteria,0,100
2,25,P,0,Phacus,Euglenophyta,0,35
2,25,P,0,Merismopedia,Cyanobacteria,0,3
2,25,P,0,Chroococcus,Cyanobacteria,6,27
2,25,P,0,Chlamydomonas,Chlorophyta,0,10
2,25,P,0,Synechococcus,Cyanobacteria,0,1.5
2,25,P,0,Gymnodinium,Dinoflagelate,0,55
2,25,P,0,Mallomonas,Synurophyta,0,18
2,25,P,0,Merismopedia,Cyanobacteria,0,3
2,25,P,0,Paramecium,Ciliate,0,120
2,25,P,0,Fischerella,Cyanobacteria,50,80
2,25,P,0,Amoeboid ,Amoeboid,0,3
2,25,P,0,Eunotia,Diatom,0,150
2,25,P,0,Melosira,Diatom,0,40
2,25,P,0,Diatom3,Diatom,0,60
