treatment,tank,week,species,stage,size.in.mm
PZ,21,6,Bosmina,mature,1.53
PZN,23,8,calanoid,4B3S,0.901
PZ,19,7,calanoid,4B4S,0.595
PZ,19,7,calanoid,4B4S,0.476
PZN,24,8,calanoid,5B3S,1.275
PZ,21,8,calanoid,5B4S,1.326
PZN,24,8,calanoid,5B4S,1.479
PZ,20,7,calanoid,5B5S,0.527
PZN,24,7,calanoid,adult,0.374
PZN,24,8,calanoid,adult,1.241
PZ,21,8,calanoid,juvenile,0.34
PZ,19,5,cyclopoid,2B2S,0.374
PZ,12,4,cyclopoid,3B,0.714
PZN,18,6,cyclopoid,3B,0.476
PZN,18,8,cyclopoid,3B,0.391
PZ,19,5,cyclopoid,4B2S,0.357
PZ,19,5,cyclopoid,4B2S,0.425
PZ,19,5,cyclopoid,4B2S,0.408
PZ,19,5,cyclopoid,4B2S,0.374
PZ,19,5,cyclopoid,4B2S,0.442
PZ,19,5,cyclopoid,4B2S,0.425
PZ,30,8,cyclopoid,4B2S,0.714
PZN,2,4,cyclopoid,4B3S,0.357
PZ,21,5,cyclopoid,4B3S,0.374
PZ,21,5,cyclopoid,4B3S,0.374
PZ,21,5,cyclopoid,4B3S,0.374
PZ,21,5,cyclopoid,4B3S,0.391
PZ,21,5,cyclopoid,4B3S,0.357
PZ,21,5,cyclopoid,4B3S,0.493
PZ,19,5,cyclopoid,4B3S,0.493
PZ,20,5,cyclopoid,4B3S,0.425
PZ,20,5,cyclopoid,4B3S,0.476
PZ,20,5,cyclopoid,4B3S,0.51
PZN,2,5,cyclopoid,4B3S,0.408
PZN,2,5,cyclopoid,4B3S,0.51
PZN,2,5,cyclopoid,4B3S,0.442
PZN,2,5,cyclopoid,4B3S,0.493
PZN,2,5,cyclopoid,4B3S,0.425
PZ,20,7,cyclopoid,4B3S,0.731
PZN,24,7,cyclopoid,4B3S,0.442
PZ,21,8,cyclopoid,4B3S,0.493
PZ,21,8,cyclopoid,4B3S,0.408
PZ,21,8,cyclopoid,4B3S,0.476
PZ,21,8,cyclopoid,4B3S,0.425
PZ,28,8,cyclopoid,4B3S,0.442
PZ,28,8,cyclopoid,4B3S,0.493
PZ,28,8,cyclopoid,4B3S,0.459
PZ,22,8,cyclopoid,4B3S,0.459
PZ,30,8,cyclopoid,4B3S,0.476
PZN,2,8,cyclopoid,4B3S,0.442
PZN,2,8,cyclopoid,4B3S,0.442
PZN,2,8,cyclopoid,4B3S,0.425
PZN,2,8,cyclopoid,4B3S,0.408
PZN,24,8,cyclopoid,4B3S,0.493
PZN,24,8,cyclopoid,4B3S,0.476
PZN,24,8,cyclopoid,4B3S,0.476
PZN,5,8,cyclopoid,4B3S,0.357
PZN,4,8,cyclopoid,4B3S,0.425
PZN,4,8,cyclopoid,4B3S,0.442
PZN,4,8,cyclopoid,4B3S,0.425
PZN,4,8,cyclopoid,4B3S,0.408
PZN,4,8,cyclopoid,4B3S,0.425
PZN,4,8,cyclopoid,4B3S,0.442
PZN,4,8,cyclopoid,4B3S,0.34
PZN,23,8,cyclopoid,4B3S,0.476
PZN,23,8,cyclopoid,4B3S,0.493
PZN,23,8,cyclopoid,4B3S,0.476
PZN,23,8,cyclopoid,4B3S,0.476
