Tank,date,week,average.temp,power,trophic.level,dawn1,dusk,dawn2,dawn1time,dusktime,dawn2time,hours1,hours2,temp.dawn1,temp.dusk,temp.dawn2
25,39638,2,                                ,0,P,9.05,9.56,9.35,0.1875,0.833333333,0.1875,15.5,8.5,10.6,14.5,12.1
6,39638,2,23.234,50,P,7.38,8.14,8.01,0.1875,0.833333333,0.1875,15.5,8.5,11.4,15.2,13.1
15,39638,2,26.966,100,P,7.91,8.71,8.58,0.1875,0.833333333,0.1875,15.5,8.5,12.1,15.9,13.9
3,39638,2,27.684,150,P,7.18,8.04,7.94,0.1875,0.833333333,0.1875,15.5,8.5,12.9,16.6,14.6
29,39638,2,28.328,200,P,7.25,8.19,7.81,0.1875,0.833333333,0.1875,15.5,8.5,13.6,16.9,15.1
17,39638,2,27.356,250,P,8,8.95,8.44,0.1875,0.833333333,0.1875,15.5,8.5,14.2,17.5,15.8
27,39638,2,28.637,300,P,7.87,8.83,8.2,0.1875,0.833333333,0.1875,15.5,8.5,16.1,18.9,17.1
14,39638,2,29.458,350,P,6.88,7.85,7.18,0.1875,0.833333333,0.1875,15.5,8.5,18.1,19.7,17.9
1,39638,2,30.023,400,P,6.98,8.06,7.21,0.1875,0.833333333,0.1875,15.5,8.5,18.8,20.9,18.8
8,39638,2,31.976,450,P,6.65,7.91,6.98,0.1875,0.833333333,0.1875,15.5,8.5,19.8,21.7,19.2
11,39638,2,22.853,0,PZ,8.56,9.24,9.01,0.1875,0.833333333,0.1875,15.5,8.5,10.5,14.2,12.6
21,39638,2,23.476,50,PZ,8.53,9.39,9.09,0.1875,0.833333333,0.1875,15.5,8.5,11.4,15.5,13.5
28,39638,2,26.966,100,PZ,8.16,9.34,8.99,0.1875,0.833333333,0.1875,15.5,8.5,12.3,15.9,13.9
19,39638,2,27.698,150,PZ,6.46,7.87,7.47,0.1875,0.833333333,0.1875,15.5,8.5,13.6,16.7,14.8
12,39638,2,27.987,200,PZ,7.99,9.56,8.93,0.1875,0.833333333,0.1875,15.5,8.5,14.8,17.3,15.3
13,39638,2,27.568,250,PZ,6.34,7.96,7.29,0.1875,0.833333333,0.1875,15.5,8.5,15.7,17.9,16.4
22,39638,2,28.035,300,PZ,6.81,8.93,7.93,0.1875,0.833333333,0.1875,15.5,8.5,16.9,18.6,17.7
20,39638,2,29.023,350,PZ,7.05,9.4,8.53,0.1875,0.833333333,0.1875,15.5,8.5,17.4,19.1,18.6
9,39638,2,30.213,400,PZ,5.41,8.32,7.49,0.1875,0.833333333,0.1875,15.5,8.5,18.7,19.6,19.1
30,39638,2,31.465,450,PZ,5.17,8.5,7.55,0.1875,0.833333333,0.1875,15.5,8.5,19.1,20.1,21
2,39638,2,22.948,0,PZN,8.37,8.79,8.76,0.1875,0.833333333,0.1875,15.5,8.5,11.2,12.9,12.5
24,39638,2,23.687,50,PZN,8.02,9.07,9.03,0.1875,0.833333333,0.1875,15.5,8.5,12.1,13.1,13.1
5,39638,2,26.945,100,PZN,6.54,7.88,7.53,0.1875,0.833333333,0.1875,15.5,8.5,13.5,13.9,13.9
16,39638,2,27.012,150,PZN,7.35,8.88,8.57,0.1875,0.833333333,0.1875,15.5,8.5,13.8,14.5,14.6
10,39638,2,26.568,200,PZN,7.16,8.91,8.55,0.1875,0.833333333,0.1875,15.5,8.5,14.6,15.3,15.2
26,39638,2,27.238,250,PZN,8.11,9.93,9.36,0.1875,0.833333333,0.1875,15.5,8.5,15.7,16.7,16.4
4,39638,2,28.023,300,PZN,6.31,8.17,7.08,0.1875,0.833333333,0.1875,15.5,8.5,16.1,17.6,17.8
7,39638,2,29.789,350,PZN,5.69,7.8,7.01,0.1875,0.833333333,0.1875,15.5,8.5,16.9,18.5,18.6
23,39638,2,30.123,400,PZN,6.65,8.73,7.94,0.1875,0.833333333,0.1875,15.5,8.5,17.8,19.1,19.1
18,39638,2,31.003,450,PZN,5.86,8.53,7.92,0.1875,0.833333333,0.1875,15.5,8.5,19.1,20.5,19.9
25,39645,3,21.236,0,P,15.68,15.83,15.68,0.1875,0.833333333,0.1875,15.5,8.5,11.2,15.1,12.6
6,39645,3,20.57,50,P,13.86,14.23,13.88,0.1875,0.833333333,0.1875,15.5,8.5,10.8,16.8,13.8
15,39645,3,24.855,100,P,11.72,12.5,12.184,0.1875,0.833333333,0.1875,15.5,8.5,11.9,17.5,14.5
3,39645,3,26.605,150,P,15.56,16.51,15.95,0.1875,0.833333333,0.1875,15.5,8.5,12.4,18.1,15
29,39645,3,27.63,200,P,14.63,15.63,14.96,0.1875,0.833333333,0.1875,15.5,8.5,13.5,19,16.5
17,39645,3,29.023,250,P,10.87,11.88,10.94,0.1875,0.833333333,0.1875,15.5,8.5,13.6,19.8,17.8
27,39645,3,30.102,300,P,15.61,16.65,15.71,0.1875,0.833333333,0.1875,15.5,8.5,14.8,20.1,18.6
14,39645,3,31.146,350,P,7.86,9.03,7.96,0.1875,0.833333333,0.1875,15.5,8.5,15.6,21.5,19.3
1,39645,3,31.456,400,P,14.69,16.24,14.83,0.1875,0.833333333,0.1875,15.5,8.5,17,22.1,20.5
8,39645,3,32.456,450,P,7.84,11.62,10.33,0.1875,0.833333333,0.1875,15.5,8.5,18.1,22.9,21.5
11,39645,3,20.475,0,PZ,12.76,12.9,12.46,0.1875,0.833333333,0.1875,15.5,8.5,12.2,15.6,13.5
21,39645,3,21.249,50,PZ,11.86,12.11,11.58,0.1875,0.833333333,0.1875,15.5,8.5,13.5,16.3,14.8
28,39645,3,25.046,100,PZ,14.68,15.06,14.48,0.1875,0.833333333,0.1875,15.5,8.5,14.1,16.9,15.2
19,39645,3,26.451,150,PZ,13.13,13.67,13.05,0.1875,0.833333333,0.1875,15.5,8.5,15.6,17.6,16
12,39645,3,28.001,200,PZ,12.58,13.15,12.51,0.1875,0.833333333,0.1875,15.5,8.5,16.3,18.5,17.5
13,39645,3,29.1465,250,PZ,10.82,11.43,10.22,0.1875,0.833333333,0.1875,15.5,8.5,16.9,19.6,18.5
22,39645,3,30.125,300,PZ,10.51,11.52,10.25,0.1875,0.833333333,0.1875,15.5,8.5,18.5,20.5,19.3
20,39645,3,31.456,350,PZ,10.69,11.83,10.48,0.1875,0.833333333,0.1875,15.5,8.5,19.5,20.9,19.9
9,39645,3,31.465,400,PZ,9.98,11.26,9.78,0.1875,0.833333333,0.1875,15.5,8.5,20.1,22,21.6
30,39645,3,32.458,450,PZ,12.02,13.9,12.05,0.1875,0.833333333,0.1875,15.5,8.5,21,23.5,22.6
2,39645,3,21.616,0,PZN,20.28,20.97,17.25,0.1875,0.833333333,0.1875,15.5,8.5,12.3,14.3,12.8
24,39645,3,21.978,50,PZN,11.71,12.44,11.94,0.1875,0.833333333,0.1875,15.5,8.5,13.5,15.6,13.9
5,39645,3,25.364,100,PZN,14.93,15.75,15.25,0.1875,0.833333333,0.1875,15.5,8.5,14.5,16.8,14.6
16,39645,3,26.657,150,PZN,10.99,11.84,11.23,0.1875,0.833333333,0.1875,15.5,8.5,15.9,17.5,16.7
10,39645,3,28.1238,200,PZN,10.43,11.49,11.08,0.1875,0.833333333,0.1875,15.5,8.5,16.7,18.6,17.9
26,39645,3,29.345,250,PZN,14.04,15.14,15.03,0.1875,0.833333333,0.1875,15.5,8.5,17.3,19.6,18.6
4,39645,3,30.126,300,PZN,14.62,15.83,13.47,0.1875,0.833333333,0.1875,15.5,8.5,18.2,20.9,20.6
7,39645,3,31.003,350,PZN,11.06,12.49,11.95,0.1875,0.833333333,0.1875,15.5,8.5,19.6,21,21.9
23,39645,3,31.645,400,PZN,8.86,10.65,10.39,0.1875,0.833333333,0.1875,15.5,8.5,20.2,22.5,23
18,39645,3,32.003,450,PZN,8.19,10.59,10.03,0.1875,0.833333333,0.1875,15.5,8.5,20.9,23.6,23.4
25,39652,4,23.484,0,P,10.77,10.85,9.92,0.1875,0.833333333,0.1875,15.5,8.5,16.5,16.9,15.1
6,39652,4,24.931,50,P,12.22,12.33,11.6,0.1875,0.833333333,0.1875,15.5,8.5,17.8,17.3,16.3
15,39652,4,23.581,100,P,11.28,11.42,10.55,0.1875,0.833333333,0.1875,15.5,8.5,18.6,18.5,16.9
3,39652,4,25.687,150,P,10.05,10.34,9.5,0.1875,0.833333333,0.1875,15.5,8.5,19.1,19.5,17.6
29,39652,4,26.452,200,P,11.29,11.88,10.98,0.1875,0.833333333,0.1875,15.5,8.5,19.9,18.9,18.8
17,39652,4,26.2341,250,P,9.25,9.99,8.95,0.1875,0.833333333,0.1875,15.5,8.5,20.3,20.1,19.6
27,39652,4,27.1236,300,P,12.19,13.04,11.76,0.1875,0.833333333,0.1875,15.5,8.5,20.9,20.9,20.1
14,39652,4,27.986,350,P,12.42,13.45,11.7,0.1875,0.833333333,0.1875,15.5,8.5,21.5,21.6,20.9
1,39652,4,29.123,400,P,9.81,10.99,9.2,0.1875,0.833333333,0.1875,15.5,8.5,21.8,22.3,21.3
8,39652,4,29.786,450,P,7.06,8.73,7.49,0.1875,0.833333333,0.1875,15.5,8.5,21.9,22.9,21.9
11,39652,4,24.545,0,PZ,11.67,12.41,11.96,0.1875,0.833333333,0.1875,15.5,8.5,16.9,18.4,18.1
21,39652,4,24.245,50,PZ,11.98,12.81,11.88,0.1875,0.833333333,0.1875,15.5,8.5,17.8,19.1,18.9
28,39652,4,24.062,100,PZ,12.17,13.19,12.25,0.1875,0.833333333,0.1875,15.5,8.5,19,19.9,19.3
19,39652,4,25.458,150,PZ,12.12,13.24,11.59,0.1875,0.833333333,0.1875,15.5,8.5,19.9,20.1,20.5
12,39652,4,26.568,200,PZ,8.99,10.34,8.8,0.1875,0.833333333,0.1875,15.5,8.5,21.2,20.9,20.9
13,39652,4,26.456,250,PZ,10.95,12.59,11.17,0.1875,0.833333333,0.1875,15.5,8.5,22,22,21.6
22,39652,4,27.326,300,PZ,8.71,10.39,8.92,0.1875,0.833333333,0.1875,15.5,8.5,22.3,22.8,22.6
20,39652,4,27.998,350,PZ,10.02,11.78,10.22,0.1875,0.833333333,0.1875,15.5,8.5,22.9,23.1,23.4
9,39652,4,29.124,400,PZ,6.65,8.47,6.89,0.1875,0.833333333,0.1875,15.5,8.5,23.4,23.2,23.9
30,39652,4,29.978,450,PZ,8.67,10.91,9.18,0.1875,0.833333333,0.1875,15.5,8.5,23.1,23.9,24
2,39652,4,22.621,0,PZN,14.92,15.61,13.55,0.1875,0.833333333,0.1875,15.5,8.5,16.5,17.9,17.8
24,39652,4,23.576,50,PZN,11.13,11.93,10.99,0.1875,0.833333333,0.1875,15.5,8.5,16.9,18.5,17.9
5,39652,4,24.658,100,PZN,10.71,11.52,10.1,0.1875,0.833333333,0.1875,15.5,8.5,17.6,18.9,18.5
