Tank,Week,average temp,Fields.Of.View,power,trophic.level,Amoeboid.Unicell,Anabaena,Anacystis,Arthrodesmus,Centric.Diatom,Chlamydomonas,Chlorococcus,Chrysophyte,Chrysospherella,Coleosphaerium,Cryptomonas,Diatom.A,Diatom.C,Diatom.w.protrusions,Dinobryon,Dinoflagellate,Euglenid,Fischerella,Fragilaria,Gloeocystis,Large.Spherical.Unicell.Cyano,Mallomonas,Merismopedia,Microcystis,Oscillatoria,Ovular.Unicell.Cyano,Paramecium,Phacus
1,1,30.023,40,400,P,0,0,0,0,0,0,0,1.5,0,0,4.5,0,0,0,0,0,0,0,3,1.5,0,0,0,0,4.5,1.5,0,0
2,1,22.948,40,0,PZN,0,0,0,0,0,0,0,0,1.5,1.5,4.5,0,0,0,0,0,0,0,0,10.5,0,0,0,0,0,0,0,0
3,1,27.684,40,150,P,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,1.5,0,0,1.5,3,0,0,0,0,1.5,0,0,0
4,1,28.023,40,300,PZN,4.5,0,0,0,1.5,0,0,0,0,0,0,4.5,1.5,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0
5,1,26.945,40,100,PZN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1.5,0,0,0,0,0,1.5,0,0,0
6,1,23.234,40,50,P,0,0,3,0,0,0,0,1.5,0,4.5,1.5,0,0,0,0,0,0,0,0,4.5,0,0,0,0,1.5,0,0,0
7,1,29.789,40,350,PZN,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,1.5,0,0,3,4.5,0,0,0,0,0,0,0,0
8,1,31.976,40,450,P,0,0,22.5,0,1.5,0,0,0,0,1.5,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0
9,1,30.213,40,400,PZ,0,0,6,0,0,0,3,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0
10,1,26.568,40,200,PZN,0,0,0,0,0,0,0,1.5,0,4.5,0,0,0,0,0,1.5,0,0,1.5,1.5,0,0,0,7.5,3,1.5,0,0
11,1,22.853,40,0,PZ,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,1.5,0,0,0,0
12,1,27.987,40,200,PZ,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1.5,0,0,0
13,1,27.568,40,250,PZ,0,0,0,0,0,0,3,0,0,1.5,0,0,0,0,0,0,0,0,7.5,7.5,0,0,0,0,1.5,0,0,0
14,1,29.458,20,350,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,903,0,0,0
15,1,26.966,40,100,P,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7.5,0,0,0,0,0,0,0,0,0
16,1,27.012,40,150,PZN,0,0,0,0,1.5,0,0,1.5,0,3,0,0,1.5,0,0,1.5,0,0,9,4.5,0,0,0,0,0,0,12,0
17,1,27.356,40,250,P,0,0,1.5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7.5,0,0,0,0,3,1.5,0,0,0
18,1,31.003,40,450,PZN,0,0,4.5,0,0,0,0,0,0,3,0,0,0,0,0,1.5,0,0,1.5,3,0,0,18,0,0,0,0,0
19,1,27.698,40,150,PZ,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,3,0,0,0,3,0,1.5,0,0,0
20,1,29.023,40,350,PZ,4.5,0,1.5,0,0,0,0,0,0,0,0,4.5,0,0,0,1.5,0,0,1.5,4.5,0,0,0,0,0,0,0,0
21,1,23.476,40,50,PZ,1.5,1.5,0,0,0,0,0,0,0,1.5,0,1.5,0,0,0,3,0,0,1.5,0,0,0,0,1.5,1.5,0,0,1.5
