Week,Tank,trophic level,power,SW Div,Diatom.cyano ratio,average.temp,proportion cyano,TOTAL
7,1,P,400,0.974523692,0.010638298,23.789,0.401709402,234
7,2,PZN,0,0.954680918,0.02,15.187,0.180505415,277
7,3,P,150,0.814802296,0,18.654,0.472972973,296
7,4,PZN,300,0.984763092,0,21.798,0.358208955,201
7,5,PZN,100,1.024669182,0.019607843,17.687,0.329032258,155
7,6,P,50,0.744975866,0.037037037,14.038,0.179401993,301
7,7,PZN,350,0.916882733,0,23.003,0.367346939,196
7,8,P,450,0.641480191,0.005128205,27.469,0.898617512,217
7,9,PZ,400,1.193408568,0.25,23.996,0.181818182,44
7,10,PZN,200,0.71944729,0,19.456,0.121076233,223
7,11,PZ,0,0.723953117,0,17.855,0.113333333,150
7,12,PZ,200,0.878400333,0,19.203,0.203125,256
7,13,PZ,250,0.901700261,0.066666667,20.158,0.131004367,229
7,14,P,350,0.612546212,0,21.999,0.028037383,214
7,15,P,100,0.869468944,0,17.665,0.554455446,202
7,16,PZN,150,0.461792094,0,18.654,0.017021277,235
7,17,P,250,0.878750546,0,20.158,0.242857143,70
7,18,PZN,450,0.901093121,0,23.125,0.730434783,230
7,19,PZ,150,0.90192472,0,18.123,0.220779221,231
7,20,PZ,350,1.001336508,0.25,22.978,0.8,15
7,21,PZ,50,1.265258512,0.068965517,15.7465,0.58,50
7,22,PZ,300,0.870984855,0,21.648,0.200729927,274
7,23,PZN,400,0.999503973,0,23.78,0.275,40
7,24,PZN,50,1.015527126,0.011764706,15.632,0.374449339,227
7,25,P,0,0.81672045,0,15.091,0.129411765,170
7,26,PZN,250,0.938285897,0,20.468,0.176470588,391
7,27,P,300,0.998150231,0,21.038,0.244343891,221
7,28,PZ,100,0.806979261,0,17.57,0.123563218,348
7,29,P,200,1.188574639,0,19.564,0.123076923,65
7,30,PZ,450,0.935901088,0,24.978,0.769230769,13
