Tank,date,week,average.temp,power,trophic.level,dawn1,dusk,dawn2,dawn1time,dusktime,dawn2time,hours1,hours2,calc.NPP,calc.ER,chla,Pcarbon,Phyto.Shannon.Wiener.Diversity,Diatom.Cyano.Ratio,Daphnia.Copepod.Ratio,zoo.ug.carbon.liter,total.zoo.abundance.liter,community.size,Daphnia.mature.size,Daphnia.Copepod.Ratio,abundance.Daphnia,abundance.copepods,total.adults,total.juveniles,total.eggs,total.larvae
25,10/07/12,2,22.377,0,P,9.05,9.56,9.35,04:30:00,20:00:00,04:30:00,15.5,8.5,0.789677419,0.592941176,5.390,296.45,1.12148661,0.666666667,,,,,,,,,,,,
6,10/07/12,2,23.234,50,P,7.38,8.14,8.01,04:30:00,20:00:00,04:30:00,15.5,8.5,1.176774194,0.367058824,3.300,181.5,1.25661158,0,,,,,,,,,,,,
15,10/07/12,2,26.966,100,P,7.91,8.71,8.58,04:30:00,20:00:00,04:30:00,15.5,8.5,1.238709677,0.367058824,9.880,543.4,0.92768636,0,,,,,,,,,,,,
3,10/07/12,2,27.684,150,P,7.18,8.04,7.94,04:30:00,20:00:00,04:30:00,15.5,8.5,1.331612903,0.282352941,9.050,497.75,0.92494908,1,,,,,,,,,,,,
29,10/07/12,2,28.328,200,P,7.25,8.19,7.81,04:30:00,20:00:00,04:30:00,15.5,8.5,1.455483871,1.072941176,9.930,546.15,1.06861915,23,,,,,,,,,,,,
17,10/07/12,2,27.356,250,P,8,8.95,8.44,04:30:00,20:00:00,04:30:00,15.5,8.5,1.470967742,1.44,2.420,133.1,1.05371312,0.833333333,,,,,,,,,,,,
27,10/07/12,2,28.637,300,P,7.87,8.83,8.2,04:30:00,20:00:00,04:30:00,15.5,8.5,1.486451613,1.778823529,2.510,138.05,1.12148661,0,,,,,,,,,,,,
14,10/07/12,2,29.458,350,P,6.88,7.85,7.18,04:30:00,20:00:00,04:30:00,15.5,8.5,1.501935484,1.891764706,2.750,151.25,0.36643259,0.006644518,,,,,,,,,,,,
1,10/07/12,2,30.023,400,P,6.98,8.06,7.21,04:30:00,20:00:00,04:30:00,15.5,8.5,1.672258065,2.4,1.830,100.65,1.26888433,0.5,,,,,,,,,,,,
8,10/07/12,2,31.976,450,P,6.65,7.91,6.98,04:30:00,20:00:00,04:30:00,15.5,8.5,1.950967742,2.625882353,6.260,344.3,0.92897423,0.052631579,,,,,,,,,,,,
11,10/07/12,2,22.853,0,PZ,8.56,9.24,9.01,04:30:00,20:00:00,04:30:00,15.5,8.5,1.052903226,0.649411765,12.600,693,0.88414325,0.125,,,,,,,,,,,,
21,10/07/12,2,23.476,50,PZ,8.53,9.39,9.09,04:30:00,20:00:00,04:30:00,15.5,8.5,1.331612903,0.847058824,19.370,1065.35,1.29965096,0.666666667,,,,,,,,,,,,
28,10/07/12,2,26.966,100,PZ,8.16,9.34,8.99,04:30:00,20:00:00,04:30:00,15.5,8.5,1.827096774,0.988235294,10.230,562.65,0.34657359,0,,,,,,,,,,,,
19,10/07/12,2,27.698,150,PZ,6.46,7.87,7.47,04:30:00,20:00:00,04:30:00,15.5,8.5,2.183225806,1.129411765,3.230,177.65,1.01140426,1,,,,,,,,,,,,
12,10/07/12,2,27.987,200,PZ,7.99,9.56,8.93,04:30:00,20:00:00,04:30:00,15.5,8.5,2.430967742,1.778823529,2.530,139.15,0.94524366,6,,,,,,,,,,,,
13,10/07/12,2,27.568,250,PZ,6.34,7.96,7.29,04:30:00,20:00:00,04:30:00,15.5,8.5,2.508387097,1.891764706,6.630,364.65,1.21284963,1,,,,,,,,,,,,
22,10/07/12,2,28.035,300,PZ,6.81,8.93,7.93,04:30:00,20:00:00,04:30:00,15.5,8.5,3.282580645,2.823529412,8.090,444.95,1.16744095,5,,,,,,,,,,,,
20,10/07/12,2,29.023,350,PZ,7.05,9.4,8.53,04:30:00,20:00:00,04:30:00,15.5,8.5,3.638709677,2.456470588,5.040,277.2,1.17704731,4,,,,,,,,,,,,
9,10/07/12,2,30.213,400,PZ,5.41,8.32,7.49,04:30:00,20:00:00,04:30:00,15.5,8.5,4.505806452,2.343529412,7.620,419.1,1.08197783,0,,,,,,,,,,,,
30,10/07/12,2,31.465,450,PZ,5.17,8.5,7.55,04:30:00,20:00:00,04:30:00,15.5,8.5,5.156129032,2.682352941,9.820,540.1,1.08613999,0,,,,,,,,,,,,
2,10/07/12,2,22.948,0,PZN,8.37,8.79,8.76,04:30:00,20:00:00,04:30:00,15.5,8.5,0.650322581,0.084705882,14.570,801.35,1.03091841,0,,,,,,,,,,,,
24,10/07/12,2,23.687,50,PZN,8.02,9.07,9.03,04:30:00,20:00:00,04:30:00,15.5,8.5,1.625806452,0.112941176,12.070,663.85,1.29115317,0.666666667,,,,,,,,,,,,
5,10/07/12,2,26.945,100,PZN,6.54,7.88,7.53,04:30:00,20:00:00,04:30:00,15.5,8.5,2.07483871,0.988235294,11.360,624.8,1.01140426,1,,,,,,,,,,,,
16,10/07/12,2,27.012,150,PZN,7.35,8.88,8.57,04:30:00,20:00:00,04:30:00,15.5,8.5,2.369032258,0.875294118,10.430,573.65,1.24873036,7.5,,,,,,,,,,,,
10,10/07/12,2,26.568,200,PZN,7.16,8.91,8.55,04:30:00,20:00:00,04:30:00,15.5,8.5,2.709677419,1.016470588,9.740,535.7,1.33507668,0.090909091,,,,,,,,,,,,
26,10/07/12,2,27.238,250,PZN,8.11,9.93,9.36,04:30:00,20:00:00,04:30:00,15.5,8.5,2.818064516,1.609411765,8.070,443.85,1.15413337,0,,,,,,,,,,,,
4,10/07/12,2,28.023,300,PZN,6.31,8.17,7.08,04:30:00,20:00:00,04:30:00,15.5,8.5,2.88,3.077647059,6.510,358.05,0.9865007,0,,,,,,,,,,,,
7,10/07/12,2,29.789,350,PZN,5.69,7.8,7.01,04:30:00,20:00:00,04:30:00,15.5,8.5,3.267096774,2.230588235,5.780,317.9,1.05863855,0,,,,,,,,,,,,
23,10/07/12,2,30.123,400,PZN,6.65,8.73,7.94,04:30:00,20:00:00,04:30:00,15.5,8.5,3.220645161,2.230588235,5.730,315.15,1.12513014,0.5,,,,,,,,,,,,
18,10/07/12,2,31.003,450,PZN,5.86,8.53,7.92,04:30:00,20:00:00,04:30:00,15.5,8.5,4.134193548,1.722352941,5.600,308,1.11928504,0.2,,,,,,,,,,,,
25,17/07/12,3,21.236,0,P,15.68,15.83,15.68,04:30:00,20:00:00,04:30:00,15.5,8.5,0.232258065,0.423529412,9.890,543.95,0.79248129,0,,,,,,,,,,,,
6,17/07/12,3,20.57,50,P,13.86,14.23,13.88,04:30:00,20:00:00,04:30:00,15.5,8.5,0.572903226,0.988235294,9.600,528,1.16159287,0.230769231,,,,,,,,,,,,
15,17/07/12,3,24.855,100,P,11.72,12.5,12.184,04:30:00,20:00:00,04:30:00,15.5,8.5,1.207741935,0.892235294,8.800,484,0.91447599,0,,,,,,,,,,,,
3,17/07/12,3,26.605,150,P,15.56,16.51,15.95,04:30:00,20:00:00,04:30:00,15.5,8.5,1.470967742,1.581176471,7.730,425.15,0.77148194,0,,,,,,,,,,,,
29,17/07/12,3,27.63,200,P,14.63,15.63,14.96,04:30:00,20:00:00,04:30:00,15.5,8.5,1.548387097,1.891764706,6.570,361.35,0.75793865,0,,,,,,,,,,,,
17,17/07/12,3,29.023,250,P,10.87,11.88,10.94,04:30:00,20:00:00,04:30:00,15.5,8.5,1.563870968,2.654117647,5.270,289.85,1.0134416,0,,,,,,,,,,,,
27,17/07/12,3,30.102,300,P,15.61,16.65,15.71,04:30:00,20:00:00,04:30:00,15.5,8.5,1.610322581,2.654117647,5.020,276.1,1.25851025,0.666666667,,,,,,,,,,,,
14,17/07/12,3,31.146,350,P,7.86,9.03,7.96,04:30:00,20:00:00,04:30:00,15.5,8.5,1.811612903,3.021176471,4.450,244.75,0.96017647,0,,,,,,,,,,,,
1,17/07/12,3,31.456,400,P,14.69,16.24,14.83,04:30:00,20:00:00,04:30:00,15.5,8.5,2.4,3.981176471,4.170,229.35,1.16282425,0,,,,,,,,,,,,
8,17/07/12,3,32.456,450,P,7.84,11.62,10.33,04:30:00,20:00:00,04:30:00,15.5,8.5,5.852903226,3.642352941,0.050,2.75,1.23768061,0.275862069,,,,,,,,,,,,
11,17/07/12,3,20.475,0,PZ,12.76,12.9,12.46,04:30:00,20:00:00,04:30:00,15.5,8.5,0.216774194,1.242352941,9.730,535.15,1.21290295,0.666666667,,,,,,,,,,,,
21,17/07/12,3,21.249,50,PZ,11.86,12.11,11.58,04:30:00,20:00:00,04:30:00,15.5,8.5,0.387096774,1.496470588,7.630,419.65,0.57558353,0.006688963,,,,,,,,,,,,
28,17/07/12,3,25.046,100,PZ,14.68,15.06,14.48,04:30:00,20:00:00,04:30:00,15.5,8.5,0.588387097,1.637647059,6.770,372.35,0.95307737,0,,,,,,,,,,,,
19,17/07/12,3,26.451,150,PZ,13.13,13.67,13.05,04:30:00,20:00:00,04:30:00,15.5,8.5,0.836129032,1.750588235,6.220,342.1,0.71910794,0,,,,,,,,,,,,
12,17/07/12,3,28.001,200,PZ,12.58,13.15,12.51,04:30:00,20:00:00,04:30:00,15.5,8.5,0.882580645,1.807058824,4.380,240.9,0.50620826,0,,,,,,,,,,,,
13,17/07/12,3,29.1465,250,PZ,10.82,11.43,10.22,04:30:00,20:00:00,04:30:00,15.5,8.5,0.944516129,3.416470588,4.310,237.05,0.66483067,0,,,,,,,,,,,,
22,17/07/12,3,30.125,300,PZ,10.51,11.52,10.25,04:30:00,20:00:00,04:30:00,15.5,8.5,1.563870968,3.585882353,4.310,237.05,0.69208456,0,,,,,,,,,,,,
20,17/07/12,3,31.456,350,PZ,10.69,11.83,10.48,04:30:00,20:00:00,04:30:00,15.5,8.5,1.76516129,3.811764706,1.840,101.2,1.0014928,0.052631579,,,,,,,,,,,,
9,17/07/12,3,31.465,400,PZ,9.98,11.26,9.78,04:30:00,20:00:00,04:30:00,15.5,8.5,1.981935484,4.178823529,1.490,81.95,1.10638814,0.2,,,,,,,,,,,,
30,17/07/12,3,32.458,450,PZ,12.02,13.9,12.05,04:30:00,20:00:00,04:30:00,15.5,8.5,2.910967742,5.223529412,1.360,74.8,1.1285153,0,,,,,,,,,,,,
2,17/07/12,3,21.616,0,PZN,20.28,20.97,17.25,04:30:00,20:00:00,04:30:00,15.5,8.5,1.068387097,10.50352941,8.170,449.35,1.42989837,2.25,,,,,,,,,,,,
24,17/07/12,3,21.978,50,PZN,11.71,12.44,11.94,04:30:00,20:00:00,04:30:00,15.5,8.5,1.130322581,1.411764706,7.880,433.4,0.82049631,0.025974026,,,,,,,,,,,,
5,17/07/12,3,25.364,100,PZN,14.93,15.75,15.25,04:30:00,20:00:00,04:30:00,15.5,8.5,1.269677419,1.411764706,7.690,422.95,1.13945901,0,,,,,,,,,,,,
16,17/07/12,3,26.657,150,PZN,10.99,11.84,11.23,04:30:00,20:00:00,04:30:00,15.5,8.5,1.316129032,1.722352941,7.370,405.35,1.1500343,0.454545455,,,,,,,,,,,,
