week,tank,treatment,species,size
4,21,PZ,Daphnia,1.36
4,21,PZ,Daphnia,1.275
4,28,PZ,cyclopoid,0.51
4,28,PZ,cyclopoid,0.714
4,28,PZ,Daphnia,1.19
4,19,PZ,cyclopoid,0.561
4,19,PZ,Daphnia,0.51
4,19,PZ,Daphnia,1.53
4,19,PZ,Daphnia,0.646
4,19,PZ,Daphnia,0.629
4,19,PZ,Daphnia,0.714
4,19,PZ,Daphnia,0.935
4,12,PZ,cyclopoid,0.595
4,12,PZ,cyclopoid,0.544
4,12,PZ,cyclopoid,0.663
4,12,PZ,Daphnia,0.986
4,12,PZ,Daphnia,0.935
4,12,PZ,Daphnia,1.36
4,12,PZ,Daphnia,0.51
4,12,PZ,Daphnia,0.544
4,12,PZ,Daphnia,0.51
4,12,PZ,Daphnia,0.646
4,12,PZ,Daphnia,0.629
4,12,PZ,Daphnia,0.51
4,12,PZ,Daphnia,0.697
4,12,PZ,Daphnia,0.697
4,13,PZ,Daphnia,1.445
4,13,PZ,Daphnia,0.68
4,13,PZ,Daphnia,0.527
4,13,PZ,Daphnia,0.816
4,13,PZ,Daphnia,0.765
4,13,PZ,Daphnia,0.782
4,13,PZ,Daphnia,0.629
4,13,PZ,Daphnia,0.765
4,13,PZ,Daphnia,1.241
4,13,PZ,Daphnia,0.714
4,13,PZ,Daphnia,0.714
4,13,PZ,Daphnia,1.003
4,13,PZ,Daphnia,0.765
4,13,PZ,Daphnia,0.561
4,13,PZ,Daphnia,0.646
4,13,PZ,Daphnia,0.68
4,13,PZ,Daphnia,0.561
4,13,PZ,Daphnia,0.68
4,13,PZ,Daphnia,0.748
4,13,PZ,Daphnia,0.85
4,13,PZ,Daphnia,0.697
4,13,PZ,Daphnia,0.527
4,13,PZ,Daphnia,0.799
4,13,PZ,Daphnia,1.36
4,13,PZ,Daphnia,0.595
4,13,PZ,Daphnia,1.19
4,13,PZ,Daphnia,0.68
4,13,PZ,Daphnia,0.697
4,13,PZ,Daphnia,0.765
4,13,PZ,Daphnia,0.901
4,13,PZ,Daphnia,0.629
4,13,PZ,Daphnia,0.748
4,13,PZ,Daphnia,0.68
4,13,PZ,Daphnia,0.68
4,13,PZ,Daphnia,1.326
4,13,PZ,Daphnia,0.612
4,13,PZ,Daphnia,0.816
4,13,PZ,Daphnia,0.986
4,13,PZ,Daphnia,0.748
4,13,PZ,Daphnia,0.544
4,13,PZ,Daphnia,0.68
4,13,PZ,Daphnia,1.428
4,13,PZ,Daphnia,0.765
4,13,PZ,Daphnia,0.85
4,13,PZ,Daphnia,0.765
4,13,PZ,Daphnia,0.901
4,13,PZ,Daphnia,0.901
4,13,PZ,Daphnia,0.595
4,13,PZ,Daphnia,0.68
4,20,PZ,cyclopoid,0.544
4,20,PZ,cyclopoid,0.561
4,20,PZ,cyclopoid,0.561
4,20,PZ,Daphnia,0.527
4,30,PZ,cyclopoid,0.595
4,30,PZ,Daphnia,0.357
4,2,PZN,cyclopoid,0.357
4,24,PZN,cyclopoid,0.493
4,24,PZN,cyclopoid,0.544
4,24,PZN,cyclopoid,0.51
4,23,PZN,cyclopoid,0.493
5,21,PZ,cyclopoid,0.374
5,21,PZ,cyclopoid,0.374
5,21,PZ,cyclopoid,0.374
5,21,PZ,cyclopoid,0.391
5,21,PZ,cyclopoid,0.357
5,21,PZ,cyclopoid,0.493
5,21,PZ,Daphnia,0.833
5,21,PZ,Daphnia,0.595
5,21,PZ,Daphnia,0.901
5,21,PZ,Daphnia,0.629
5,21,PZ,Daphnia,0.85
5,21,PZ,Daphnia,0.782
5,19,PZ,cyclopoid,0.527
5,19,PZ,cyclopoid,0.629
5,19,PZ,cyclopoid,0.374
5,22,PZ,cyclopoid,0.425
5,22,PZ,cyclopoid,0.476
5,22,PZ,cyclopoid,0.51
5,22,PZ,Daphnia,0.765
5,20,PZ,cyclopoid,0.357
5,20,PZ,cyclopoid,0.425
5,20,PZ,cyclopoid,0.408
5,20,PZ,cyclopoid,0.374
5,20,PZ,cyclopoid,0.493
5,20,PZ,cyclopoid,0.442
5,20,PZ,cyclopoid,0.425
5,2,PZN,cyclopoid,0.612
5,2,PZN,cyclopoid,0.646
5,2,PZN,cyclopoid,0.408
5,2,PZN,cyclopoid,0.51
5,2,PZN,cyclopoid,0.697
5,2,PZN,cyclopoid,0.612
5,2,PZN,cyclopoid,0.442
5,2,PZN,cyclopoid,0.544
5,2,PZN,cyclopoid,0.493
5,2,PZN,cyclopoid,0.425
6,21,PZ,Bosmina,1.53
6,21,PZ,cyclopoid,0.527
6,21,PZ,cyclopoid,0.544
6,21,PZ,Daphnia,0.935
6,21,PZ,Daphnia,0.986
6,28,PZ,cyclopoid,0.765
6,28,PZ,Daphnia,0.85
6,28,PZ,Daphnia,0.765
6,28,PZ,Daphnia,0.714
6,28,PZ,Daphnia,0.697
6,28,PZ,Daphnia,0.748
6,28,PZ,Daphnia,0.663
6,28,PZ,Daphnia,0.85
6,28,PZ,Daphnia,0.782
6,28,PZ,Daphnia,0.833
6,28,PZ,Daphnia,0.884
6,28,PZ,Daphnia,0.799
6,28,PZ,Daphnia,0.612
6,28,PZ,Daphnia,0.986
6,28,PZ,Daphnia,0.901
6,28,PZ,Daphnia,0.833
6,28,PZ,Daphnia,0.612
6,28,PZ,Daphnia,0.561
6,28,PZ,Daphnia,0.612
6,28,PZ,Daphnia,0.816
6,28,PZ,Daphnia,0.595
6,28,PZ,Daphnia,1.19
6,28,PZ,Daphnia,0.663
6,19,PZ,cyclopoid,0.765
6,19,PZ,Daphnia,0.85
6,19,PZ,Daphnia,0.765
6,19,PZ,Daphnia,0.714
6,19,PZ,Daphnia,0.697
6,19,PZ,Daphnia,0.748
6,19,PZ,Daphnia,0.663
6,19,PZ,Daphnia,0.85
6,19,PZ,Daphnia,0.782
6,19,PZ,Daphnia,0.833
6,19,PZ,Daphnia,0.884
6,19,PZ,Daphnia,0.799
6,19,PZ,Daphnia,0.612
6,19,PZ,Daphnia,0.986
6,19,PZ,Daphnia,0.901
6,19,PZ,Daphnia,0.833
6,19,PZ,Daphnia,0.612
6,19,PZ,Daphnia,0.561
6,19,PZ,Daphnia,0.612
6,19,PZ,Daphnia,0.816
6,19,PZ,Daphnia,0.595
6,19,PZ,Daphnia,1.19
6,19,PZ,Daphnia,0.663
6,22,PZ,cyclopoid,0.51
6,22,PZ,Daphnia,0.697
6,22,PZ,Daphnia,0.867
6,22,PZ,Daphnia,0.68
